#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4456, 5259.24, -1, 65, 0.0176802, -0.00368264, 2.06865, -0.0715098, 0.0740381, 0.854948, 0.861122, 0.651, 2068, 2036, 2484, 730432888
4457, 5298.49, -1, 65, 0.0182212, -0.00286234, 2.0687, -0.116417, 0.0718524, 0.8566, 0.867455, 0.678, 2104, 2040, 2520, 730463162
4458, 5337.59, -1, 65, 0.0191812, 0.00101229, 2.06849, -0.0812366, 0.0443547, 0.855593, 0.860584, 0.716, 1956, 2028, 2488, 730508541
4459, 5381.24, -1, 65, 0.0199317, 0.00541052, 2.06842, -0.0514682, 0.00489388, 0.818967, 0.820597, 0.742, 1956, 2032, 2504, 730543484
4460, 5420.47, -1, 65, 0.0159349, 0.00865683, 2.06808, -0.0357247, 0.00655686, 0.616143, 0.617212, 0.773, 1972, 2024, 2380, 730593655
4461, 5468.15, -1, 65, 0.010821, 0.00912807, 2.06752, -0.0339452, 0.0132613, 0.414342, 0.415942, 0.793, 2032, 2036, 2336, 730638943
4462, 5514.52, -1, 65, 0.00836013, 0.0095295, 2.06726, -0.0443873, -0.00969684, 0.278903, 0.28258, 0.808, 2036, 2040, 2340, 730679165
4463, 5563.84, -1, 65, 0.0045204, 0.00938987, 2.06689, -0.0567646, -0.03951, 0.132711, 0.149651, 0.822, 2032, 2032, 2380, 730734250
4464, 5618.01, -1, 65, -0.00181514, 0.00977384, 2.06689, -0.0541182, -0.0473347, 0.0255523, 0.0763039, 0.829, 2052, 2036, 2396, 730784665
4465, 5628.7, -1, 65, -0.00246091, 0.00968658, 2.06691, -0.0515978, -0.0439301, 0.0148422, 0.069372, 0.829, 2080, 2060, 2400, 730789486
4466, 5663.84, -1, 65, -0.00827286, 0.01028, 2.06705, -0.0650774, -0.0169184, -0.0501095, 0.0838586, 0.83, 2084, 2064, 2428, 731926769
4467, 5688.75, -1, 65, -0.0107163, 0.0106989, 2.06698, -0.0661373, -0.0293642, -0.085744, 0.112198, 0.828, 1996, 2012, 2464, 731952160
